"If you were a professional wrestler, name a televangelist you would hire as a hype man to cut promos on your behalf.",,,,,,,
,,,,,,,
Raw Response,Categorized Answer,,Sorted Answer,Total,,,
Benny Hinn,Benny Hinn,1,Benny Hinn,22,,,Johnathan Bell
Benny Hinn,Benny Hinn,2,T.D. Jakes,12,,,Jimmy Swaggart
Benny Hinn,Benny Hinn,3,Creflo Dollar,12,,,Mark Driscoll 
Benny Hinn,Benny Hinn,4,Joel Osteen,10,,,Kenneth Copeland
Benny Hinn,Benny Hinn,5,Steven Furtick,10,,,Todd Friel
Benny Hinn,Benny Hinn,6,Kenneth Copeland,6,,,Lethebo Rabalago
Benny Hinn,Benny Hinn,7,Todd White,5,,,Benny Hinn
Benny Hinn,Benny Hinn,8,Billy Graham,3,,,Joel Osteen
Benny Hinn,Benny Hinn,,Jesse Duplantis,2,,,Tooting Tillman
Benny Hinn,Benny Hinn,,John Hagee,2,,,Steven Furtick
Benny Hinn,Benny Hinn,,Bob Hope,1,,,Hal Lindsey
Benny Hinn,Benny Hinn,,Eddie Long,1,,,Ric Flair
Benny Hinn,Benny Hinn,,Hal Lindsey,1,,,Mother Angelica
Benny Hinn,Benny Hinn,,Jimmy Swaggart,1,,,Bob Hope
Benny Hinn,Benny Hinn,,Johnathan Bell,1,,,Jesse Duplantis
Benny Hinn,Benny Hinn,,Joseph Prince,1,,,T.D. Jakes
Benny Hinn,Benny Hinn,,Lethebo Rabalago,1,,,Todd White
Benny Hinn,Benny Hinn,,Mark Driscoll ,1,,,Eddie Long
Benny Hinn,Benny Hinn,,Mother Angelica,1,,,John Hagee
Benny Hinn,Benny Hinn,,Pat Robertson,1,,,Joseph Prince
Benny Hinn,Benny Hinn,,Ric Flair,1,,,Creflo Dollar
Benny Hinn,Benny Hinn,,Todd Friel,1,,,Pat Robertson
Benny Hinn,Benny Hinn,,Tooting Tillman,1,,,Billy Graham
Billy Graham,Billy Graham,,,97,,,
Billy Graham,Billy Graham,,,,,,
Billy Graham,Billy Graham,,,,,,
Bob Hope,Bob Hope,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Creflo Dollar,Creflo Dollar,,,,,,
Eddie Long,Eddie Long,,,,,,
Hal Lindsey,Hal Lindsey,,,,,,
Jesse Duplantis,Jesse Duplantis,,,,,,
Jesse Duplantis,Jesse Duplantis,,,,,,
Jimmy Swaggart,Jimmy Swaggart,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Joel Osteen,Joel Osteen,,,,,,
John Hagee,John Hagee,,,,,,
John Hagee ,John Hagee ,,,,,,
John Piper,John Piper,,,,,,
Johnathan Bell,Johnathan Bell,,,,,,
Joseph Prince,Joseph Prince,,,,,,
Kenneth Copeland,Kenneth Copeland,,,,,,
Kenneth Copeland,Kenneth Copeland,,,,,,
Kenneth Copeland,Kenneth Copeland,,,,,,
Kenneth Copeland,Kenneth Copeland,,,,,,
Kenneth Copeland,Kenneth Copeland,,,,,,
Kenneth Copeland,Kenneth Copeland,,,,,,
Lethebo Rabalago,Lethebo Rabalago,,,,,,
Mark Driscoll ,Mark Driscoll ,,,,,,
Mother Angelica,Mother Angelica,,,,,,
Joel Osteen,Joel Osteen,,,,,,
Pat Robertson,Pat Robertson,,,,,,
Ric Flair,Ric Flair,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
Steven Furtick,Steven Furtick,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
T.D. Jakes,T.D. Jakes,,,,,,
Todd Friel,Todd Friel,,,,,,
Todd White,Todd White,,,,,,
Todd White,Todd White,,,,,,
Todd White,Todd White,,,,,,
Todd White,Todd White,,,,,,
Todd White,Todd White,,,,,,
Tooting Tillman,Tooting Tillman,,,,,,
