Name something a youth pastor never leaves home without.,,,,
,,,,
Raw Response,Categorized Answer,,Sorted Answer,Total
A dumb haircut,Cool/dumb haircut,1,Skinny Jeans,29
A perfect fade,Cool/dumb haircut,2,Fashon/Hygeine Accessory,19
Hair gel,Cool/dumb haircut,3,Game/entertainment accessory,12
Hair product,Cool/dumb haircut,4,Bible,10
A Bible,Bible,5,Food/Drinks,9
Bible,Bible,6,Cell Phone,6
Bible,Bible,7,Coffee,5
BIBLE,Bible,8,A cool/dumb haircut,4
Bible,Bible,9,Novel Communication Method,5
Bible,Bible,10,Guitar,3
Bible,Bible,,CCM CD,2
Bible,Bible,,Ear Plugs,1
Bible ,Bible,,Medical release forms,1
His Bible,Bible,,His Subaru Outback,1
90s Christian rock CDs,CCM CD,,,
Reliant K cd,CCM CD,,,107
Cell Phone,Cell phone,,,
Cell Phone,Cell phone,,,
Cell phone,Cell phone,,,
Cell phone,Cell phone,,,
His smartphone,Cell phone,,,
iPhone,Cell phone,,,
Coffee,Coffee,,,
Coffee,Coffee,,,
Coffee,Coffee,,,
Coffee mug,Coffee,,,
His latte,Coffee,,,
Ear plugs,Ear Plugs,,,
“Jesus is cool” t-shirt,Fashon/hygeine accessory,,,
Acid washed jeans,Fashon/hygeine accessory,,,
Apple Watch,Fashon/hygeine accessory,,,
Axe Body Spray,Fashon/hygeine accessory,,,
beard comb,Fashon/hygeine accessory,,,
Blue Jeans,Fashon/hygeine accessory,,,
Bracelets ,Fashon/hygeine accessory,,,
Cargo shorts,Fashon/hygeine accessory,,,
Cargo shorts ,Fashon/hygeine accessory,,,
Converse,Fashon/hygeine accessory,,,
Flannel,Fashon/hygeine accessory,,,
Flannel Shirt,Fashon/hygeine accessory,,,
Hipster Glasses,Fashon/hygeine accessory,,,
His Jordan 1s,Fashon/hygeine accessory,,,
His Underwear,Fashon/hygeine accessory,,,
Lip Piercing ,Fashon/hygeine accessory,,,
Sandals,Fashon/hygeine accessory,,,
Sunglasses,Fashon/hygeine accessory,,,
yeezys,Fashon/hygeine accessory,,,
Candy,Food/Drinks,,,
Doritos,Food/Drinks,,,
Mountain Dew,Food/Drinks,,,
Mountain Dew,Food/Drinks,,,
Mountain Dew ,Food/Drinks,,,
Peanut Butter,Food/Drinks,,,
Pizza,Food/Drinks,,,
Pizza money,Food/Drinks,,,
Snacks,Food/Drinks,,,
A ping pong paddle,Game/Entertainment Accessory,,,
Board game,Game/Entertainment Accessory,,,
Cornhole boards,Game/Entertainment Accessory,,,
Dodgeball,Game/Entertainment Accessory,,,
Frisbee,Game/Entertainment Accessory,,,
His frisbee,Game/Entertainment Accessory,,,
His Frisbee golf discs,Game/Entertainment Accessory,,,
iPad,Game/Entertainment Accessory,,,
Ipod,Game/Entertainment Accessory,,,
Rubber chicken ,Game/Entertainment Accessory,,,
Skate Board,Game/Entertainment Accessory,,,
Skateboard,Game/Entertainment Accessory,,,
Guitar,Guitar,,,
Guitar,Guitar,,,
Guitar,Guitar,,,
Medical release forms,Medical Release Forms,,,
An emotional story,Novel Communication Method,,,
an Urban Dictionary App,Novel Communication Method,,,
Competitive attitude,Novel Communication Method,,,
Jeans,Skinny Jeans,,,
skinny jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
skinny jeans,Skinny Jeans,,,
Skinny jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
skinny jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
skinny jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny Jeans,Skinny Jeans,,,
Skinny jeans ,Skinny Jeans,,,
Skinny jeans... but tattoos and stupid beard also come to mind,Skinny Jeans,,,
tight pants,Skinny Jeans,,,
His smile,Smile,,,
His Subaru Outback,Vehicle,,,
Wordless Book ,Novel Communication Method,,,
