"If you could add a sixth Sola, what would it be?",,,,
,,,,
Raw Response,Categorized Answer,,Sorted Answer,Total
N/a,Would not add to the solas,,Sola Coffee,7
Idk,Would not add to the solas,,Would not add a sola,6
"Um, no.",Would not add to the solas,,Sola Potluck,5
Sola ,Would not add to the solas,,Sola Beards,4
Nothing,Would not add to the solas,,Sola Ecclesia,4
No.,Would not add to the solas,,Sola Feels,4
Sola ‘Merica ,Sola ‘Merica ,,Sola Bacon,3
By 700 Club alone,Sola 700 Club,,Sola Joy in God,3
Sola Avocado,Sola Avocado,,Sola Male Elders,3
Sola Bacon,Sola Bacon,,Sola Bootstrapsa,2
Bacon alone,Sola Bacon,,Sola Calvinism,2
Sola  Bacon ,Sola Bacon,,Sola Chick-fil-A,2
Sola Baptism,Sola Baptism,,Sola Hymns,2
Sola Bearda,Sola Beards,,Sola Pizza,2
Sola Barbara(Beards),Sola Beards,,Sola Psalms,2
Beards alone.,Sola Beards,,Sola Reformation,2
Sola Barba (Beard alone),Sola Beards,,Sola ‘Merica ,1
Sola Beer ,Sola Beer ,,Sola 700 Club,1
Sola Bibliotrca,Sola Biblioteca,,Sola Avocado,1
Sola Bootstrapsa,Sola Bootstrapsa,,Sola Baptism,1
Sola bootstrapsa ,Sola Bootstrapsa,,Sola Beer ,1
 Calendara: one church calendar to rule them all,Sola Calendar,,Sola Biblioteca,1
Sola Calvin,Sola Calvinism,,Sola Calendar,1
Calvinistica,Sola Calvinism,,Sola Casseroles,1
Only casseroles (no hot dishes),Sola Casseroles,,Sola Cola,1
Sola Chick-fil-A,Sola Chick-fil-A,,Sola Craft Beer,1
Sola Chick-Fil-A,Sola Chick-fil-A,,Sola Credobaptism,1
Sola Coffee,Sola Coffee,,Sola Creeds,1
"Sola Coffay - We wake up by coffee alone, a necessity before our hearts of stone are turned into hearts of flesh.",Sola Coffee,,Sola Cross,1
Sola Coffeya (coffee),Sola Coffee,,Sola Crunchy Peanut Butter,1
Sola coffee,Sola Coffee,,Sola Denomination ,1
Sola coffee,Sola Coffee,,Sola Dogs,1
Sola Coffee,Sola Coffee,,Sola Exegesis,1
Sola Coffee,Sola Coffee,,Sola Expositional Preaching,1
Sola Cola,Sola Cola,,Sola Five Solas,1
Sola craft beer,Sola Craft Beer,,Sola Food,1
Sola Credobaptism,Sola Credobaptism,,Sola God's Will,1
Sola Credo,Sola Creeds,,Sola Grape Juice Cordial,1
By the cross alone,Sola Cross,,Sola Hope,1
Crunchy Peanut Butter,Sola Crunchy Peanut Butter,,Sola Joy to God,1
Sola Denomination ,Sola Denomination ,,Sola KJV,1
Sola Dogs (no cats),Sola Dogs,,Sola Lapsarianism,1
Sola Ecclesia,Sola Ecclesia,,Sola Liturgy,1
sola iglesia,Sola Ecclesia,,Sola Love,1
Sola Ecclesia (the church alone),Sola Ecclesia,,Sola Marvel,1
Sola Ecclesia (for the church),Sola Ecclesia,,Sola Mercy,1
Exegesis,Sola Exegesis,,Sola Pedobaptism,1
Sola expositional preaching,Sola Expositional Preaching,,Sola Presuppositionalism,1
Sola feels,Sola Feels,,Sola Real Wine,1
sola feels,Sola Feels,,Sola Republicanism,1
Sola Feels,Sola Feels,,Sola RPW,1
Sola Feels,Sola Feels,,Sola Singing,1
Sola five solas,Sola Five Solas,,Sola Single Malts,1
Sola food,Sola Food,,Sola Submission ,1
Sola Voluntatem Dei (By God’s Will Alone) ,Sola God's Will,,Sola Sweet Tea,1
Sola grape juice cordial,Sola Grape Juice Cordial,,Sola Tradition,1
Spero,Sola Hope,,Sola Trump,1
Sola Hymns,Sola Hymns,,Sola TULIP,1
Sola Hymns (Hymns only) ,Sola Hymns,,Sola Wafers,1
Sola Joya (to our joy alone),Sola Joy in God,,Sola Wisconsin Based Breweries,1
Joy in God Alone,Sola Joy in God,,,
Sola gaudia (joy alone -- along the lines of John Piper's thinking),Sola Joy in God,,,
"Evangelium docet in gaudium plenum supremum, solus Deus.",Sola Joy to God,,,
KJV only (thats is a joke),Sola KJV,,,
Lapsarianism,Sola Lapsarianism,,,
Sola Liturgica ,Sola Liturgy,,,
Sola Love,Sola Love,,,
Sola homines - only men as pastors,Sola Male Elders,,,
Sola Men in Leadership,Sola Male Elders,,,
Sola Male Elders!,Sola Male Elders,,,
Sola Marvel (Affirm against the DC fans),Sola Marvel,,,
Mercy alone,Sola Mercy,,,
Sola Pedobaptism... oh I’m sorry your sons’s 9 days old? Yeah ya just missed it,Sola Pedobaptism,,,
Pizza,Sola Pizza,,,
sola pizza,Sola Pizza,,,
Sola Pot Luck,Sola Potluck,,,
Sola Potluckus,Sola Potluck,,,
Sola Potluck ,Sola Potluck,,,
Potlocks,Sola Potluck,,,
Sola potluck ,Sola Potluck,,,
Presuppositionalism Alone,Sola Presuppositionalism,,,
Through the singing of psalms alone,Sola Psalms,,,
Sola Psalms,Sola Psalms,,,
Sola real wine,Sola Real Wine,,,
Sola Reformation,Sola Reformation,,,
Sola Reformed Teachings!,Sola Reformation,,,
Sola Republicanism,Sola Republicanism,,,
Rpw alone,Sola RPW,,,
SOLA SINGING ,Sola Singing,,,
Sola Single Malts,Sola Single Malts,,,
Sola submission ,Sola Submission ,,,
Sweet Tea Alone,Sola Sweet Tea,,,
Sola Tradition,Sola Tradition,,,
Sola Trump,Sola Trump,,,
Sola TULIP,Sola TULIP,,,
Sola Wafers,Sola Wafers,,,
Sola Wisconsin based breweries,Sola Wisconsin Based Breweries,,,
